unified_id,platform,show_id,original_title,original_year
UT00230,amazon,s814,Target for Tonight,1941
UT00231,amazon,s866,Sundown,1941
UT00232,amazon,s921,Spooks Run Wild,1941
UT00233,amazon,s1004,Silver Stallion,1941
UT00234,amazon,s1189,Reg'lar Fellers,1941
UT00235,amazon,s1569,Murder with Music,1941
UT00236,amazon,s1655,Miracle Kid,1941
UT00237,amazon,s1876,Let's Go Collegiate,1941
UT00238,amazon,s2992,Bowery Blitzkreig,1941
UT00239,amazon,s3031,Blonde Comet,1941
UT00240,amazon,s4006,Nevada City,1941
UT00241,amazon,s4293,Cheers For Miss Bishop,1941
UT00242,amazon,s4313,Redhead,1941
UT00243,amazon,s5885,"Fiesta - 1941 Color Musical Comedy w/ Jorge Negrete, Anne Ayars",1941
UT00244,amazon,s6173,Penny Serenade,1941
UT00245,amazon,s6553,Meet John Doe,1941
UT00246,amazon,s6617,Topper Returns,1941
UT00247,netflix,s7791,Prelude to War,1942
UT00248,netflix,s8206,The Battle of Midway,1942
UT00249,disney,s541,How to Play Baseball,1942
UT00250,disney,s739,Bambi,1942
UT00251,disney,s955,How to Fish,1942
UT00252,disney,s956,How to Swim,1942
UT00253,disney,s1074,Mickey's Birthday Party,1942
UT00254,disney,s1315,The Olympic Champ,1942
UT00255,amazon,s549,The Man From Cheyenne,1942
UT00256,amazon,s648,The Gay Ranchero,1942
UT00257,amazon,s696,The Dawn Express,1942
UT00258,amazon,s861,Sunset On The Desert,1942
UT00259,amazon,s1137,Romance On The Range,1942
UT00260,amazon,s1385,Panther's Claw,1942
UT00261,amazon,s1509,Neath Brooklyn Bridge,1942
UT00262,amazon,s2814,Code Of The Red Man,1942
UT00263,amazon,s2993,Bowery at Midnight,1942
UT00264,amazon,s3144,Bashful Bachelor,1942
UT00265,amazon,s5089,Wildcat,1942
UT00266,amazon,s5208,Flying Tigers,1942
UT00267,amazon,s6678,Sabapathy,1942
UT00268,amazon,s7345,En Manaivi,1942
UT00269,amazon,s7670,Mr. Wise Guy,1942
UT00270,amazon,s7706,Spy Smasher Returns - A Feature Version Of The Classic Serial,1942
UT00271,netflix,s8661,Undercover: How to Operate Behind Enemy Lines,1943
UT00272,netflix,s8740,Why We Fight: The Battle of Russia,1943
UT00273,netflix,s8764,WWII: Report from the Aleutians,1943
UT00274,disney,s865,Donald's Tire Trouble,1943
UT00275,disney,s1175,Saludos Amigos,1943
UT00276,amazon,s244,Two Weeks To Live,1943
UT00277,amazon,s387,The Woman of the Town,1943
UT00278,amazon,s406,The Underdog (1943),1943
UT00279,amazon,s509,The North Star,1943
UT00280,amazon,s788,Texas Legionaires,1943
UT00281,amazon,s918,Stage Door Canteen,1943
UT00282,amazon,s942,Song of Texas,1943
UT00282,amazon,s943,Song Of Texas,1943
UT00283,amazon,s1028,Sherlock Holmes & The Secret Weapon,1943
UT00284,amazon,s1660,Minesweeper,1943
UT00285,amazon,s2341,Girls In Chains,1943
UT00285,amazon,s2342,Girls in Chains,1943
UT00286,amazon,s2352,Ghosts On The Loose,1943
UT00287,amazon,s2950,Buckskin Frontier,1943
UT00288,amazon,s3223,Army Mystery,1943
UT00289,amazon,s3728,The Pride of The Yankees,1943
UT00290,amazon,s4755,The Crystal Ball,1943
UT00291,amazon,s5781,The Adventures Of Tartu,1943
UT00292,amazon,s5877,Randolph Scott & Robert Mitchum in Gung Ho! - A WWII Marine Classic,1943
UT00293,amazon,s5883,"Hangmen Also Die - WWII Suspense Classic, Produced & Directed By Fritz Lang, Uncut!",1943
UT00294,amazon,s7263,The Outlaw,1943
UT00295,netflix,s8420,"The Memphis Belle: A Story of a
Flying Fortress",1944
UT00296,netflix,s8437,The Negro Soldier,1944
UT00297,netflix,s8641,Tunisian Victory,1944
UT00298,disney,s580,How To Play Football,1944
UT00299,amazon,s124,When the Lights Go On Again,1944
UT00300,amazon,s214,Up in Arms,1944
UT00301,amazon,s335,Timber Queen,1944
UT00302,amazon,s706,The Cowboy And The Senorita,1944
UT00303,amazon,s835,Swing Hostess,1944
UT00304,amazon,s1102,San Fernando Valley,1944
UT00305,amazon,s1908,Lady in the Death House,1944
UT00306,amazon,s2271,Hairy Ape,1944
UT00307,amazon,s2419,Frontier Outlaws,1944
UT00308,amazon,s3196,Attack! The Battle Of New Britain,1944
UT00309,amazon,s7329,The Woman In The Window,1944
UT00310,amazon,s9465,Cheyenne Wildcat,1944
UT00311,netflix,s7220,Know Your Enemy - Japan,1945
UT00312,netflix,s7576,Nazi Concentration Camps,1945
UT00313,netflix,s7931,San Pietro,1945
UT00314,disney,s1348,The Three Caballeros,1945
UT00315,amazon,s153,War Comes to America,1945
UT00316,amazon,s535,The Missing Corpse,1945
UT00317,amazon,s1027,Sherlock Holmes & The Woman In Green,1945
UT00318,amazon,s1105,Salome Where She Danced,1945
UT00319,amazon,s2737,Dakota,1945
UT00320,amazon,s3107,Bells of Rosarita,1945
UT00321,amazon,s3230,Appointment in Tokyo,1945
UT00322,amazon,s4155,Delightfully Dangerous,1945
UT00323,amazon,s5383,Wonder Man,1945
UT00324,amazon,s6652,Detour,1945
UT00325,amazon,s8003,Sri Valli,1945
UT00326,amazon,s8835,Molly and Me,1945
UT00327,amazon,s9354,Apology for Murder,1945
UT00328,netflix,s7295,Let There Be Light,1946
UT00329,disney,s575,Double Dribble,1946
UT00330,disney,s717,A Knight for a Day,1946
UT00331,amazon,s117,Whistle Stop,1946
UT00332,amazon,s226,Under Nevada Skies,1946
UT00333,amazon,s589,The Kid From Brooklyn,1946
UT00334,amazon,s791,Terror By Night,1946
UT00335,amazon,s944,Song Of Arizona,1946
UT00336,amazon,s1139,Rolling Home,1946
UT00337,amazon,s1541,My Pal Trigger,1946
UT00338,amazon,s2606,Dressed To Kill,1946
UT00339,amazon,s2720,Danny Boy,1946
UT00340,amazon,s2974,Breakfast In Hollywood,1946
UT00341,amazon,s3109,Behind Green Lights,1946
UT00342,amazon,s3256,Angel On My Shoulder,1946
UT00343,amazon,s3367,Abilene Town,1946
UT00344,amazon,s3438,"A Boy, A Girl, and a Dog",1946
UT00345,amazon,s3846,It's A Wonderful Life (Black & White Version),1946
UT00346,amazon,s3974,Dark Alibi - Sidney Toler As Charlie Chan,1946
UT00347,amazon,s4321,It's A Wonderful Life,1946
UT00348,amazon,s4897,Stagecoach to Denver,1946
UT00349,amazon,s6320,Sherlock Holmes - Dressed to Kill,1946
UT00350,amazon,s8623,The Strange Love Of Martha Ivers,1946
UT00351,netflix,s8588,Thunderbolt,1947
UT00352,disney,s792,Chip an' Dale,1947
UT00353,disney,s906,Fun and Fancy Free,1947
UT00354,disney,s1030,Mail Dog,1947
UT00355,disney,s1076,Mickey's Delayed Date,1947
UT00356,disney,s1161,Rescue Dog,1947
UT00357,amazon,s457,The Secret Life of Walter Mitty,1947
UT00358,amazon,s919,Springtime in the Sierras,1947
UT00359,amazon,s970,Smash Up: Story Of A Woman,1947
UT00360,amazon,s1486,Night at the Follies,1947
UT00361,amazon,s2218,Hi De Ho,1947
UT00362,amazon,s2646,Dishonored Lady,1947
UT00363,amazon,s2728,Danger Street,1947
UT00364,amazon,s2744,Curley (1947),1947
UT00365,amazon,s3106,Bells of San Angelo,1947
UT00366,amazon,s3257,Angel and the Badman,1947
UT00367,amazon,s3582,Trail To San Antone,1947
UT00368,amazon,s4162,Calendar Girl,1947
UT00369,amazon,s4219,Till The Clouds Roll By,1947
UT00370,amazon,s4752,The Last Round-Up,1947
UT00371,amazon,s5453,Life With Father - A Restored Color Classic with William Powell & Elizabeth Taylor,1947
UT00372,amazon,s5875,The Fabulous Joe - In Cinecolor! A Talking Dog Comedy,1947
UT00373,amazon,s6513,The Red House,1947
UT00374,amazon,s6679,Pasión Que Redime,1947
UT00366,amazon,s6700,Angel And The Badman,1947
UT00375,amazon,s6721,We Two - Naam Iruvar,1947
UT00376,amazon,s8593,The Road to Hollywood,1947
UT00377,amazon,s9385,For You I Die,1947
UT00378,disney,s519,Mickey and the Seal,1948
UT00379,disney,s561,Pluto's Purchase,1948
UT00380,disney,s757,Bone Bandit,1948
UT00381,disney,s1069,Melody Time,1948
UT00382,disney,s1070,Mickey Down Under,1948
UT00383,amazon,s111,Who Killed Doc Robin,1948
UT00384,amazon,s219,Underworld Scandal,1948
UT00385,amazon,s581,The Lady from Shanghai,1948
UT00386,amazon,s669,The Far Frontier,1948
UT00387,amazon,s738,The Bishop's Wife,1948
UT00388,amazon,s954,Sofia,1948
UT00389,amazon,s1578,Mr. Reckless,1948
UT00390,amazon,s1753,Man From Texas (1948),1948
UT00391,amazon,s1809,Louisiana Story,1948
UT00392,amazon,s2524,Eyes Of Texas (Black & White),1948
UT00393,amazon,s2550,Enchantment,1948
UT00394,amazon,s3391,A Song is Born,1948
UT00395,amazon,s4009,Mickey,1948
UT00396,amazon,s6234,He Walked by Night,1948
UT00397,amazon,s9186,Hamlet,1948
UT00398,disney,s569,All in a Nutshell,1949
UT00399,disney,s1140,Pluto's Surprise Package,1949
UT00400,disney,s1141,Pluto's Sweater,1949
UT00401,disney,s1244,The Adventures of Ichabod and Mr. Toad,1949
UT00402,disney,s1412,Winter Storage,1949
UT00403,amazon,s33,Young Lovers,1949
UT00404,amazon,s595,The Judge,1949
